ADDR_GU,CONTENT_ID,CONTENT_NM,CRADLE_COUNT,LATITUDE,LONGITUDE,NEW_ADDR,RENT_ID
노원구,1672,상계동수락리버시티,15.0,37.688599,127.053406,서울특별시 노원구 누원로 18상계동수락리버시티,ST-1289
노원구,1673,노원역?5번출구,10.0,37.653976,127.060974,서울특별시 노원구 동일로 1404노원역 5번출구,ST-1290
노원구,1674,서울북부고용센터앞,15.0,37.653549,127.058083,서울특별시 노원구 노해로 450서울북부고용센터앞,ST-1291
노원구,1675,월계문화체육센터,14.0,37.626942,127.05513,서울특별시 노원구 월계로 280월계문화체육센터,ST-1348
노원구,1677,육군사관학교  앞,10.0,37.623165,127.0905,서울특별시 노원구 화랑로 570육군사관학교 앞,ST-1349
노원구,1678,성서대학교 밀알관,15.0,37.648438,127.064445,서울특별시 노원구 동일로214길 32성서대학교 밀알관,ST-1394
노원구,1679,삼육대 도서관,15.0,37.64283,127.106667,서울특별시 노원구 화랑로 815삼육대 도서관,ST-1395
노원구,1680,삼육대 제3과학관,10.0,37.642654,127.108383,서울특별시 노원구 화랑로 653삼육대 후문 삼거리,ST-1396
노원구,1681,현대6차 아파트,12.0,37.645802,127.08226,서울특별시 노원구 중계로8길 20현대6차 아파트,ST-1425
노원구,1682,중계종합사회복지관 교차로,13.0,37.656799,127.077606,서울특별시 노원구 덕릉로 662중계종합사회복지관 교차로,ST-1426
노원구,1683,노원문화예술회관,10.0,37.650459,127.080887,서울특별시 노원구 중계로 181노원문화예술회관,ST-1473
노원구,1684,태릉입구역 5번출구,20.0,37.61832,127.07563,서울특별시 노원구 동일로 986태릉입구역 5번출구와 6번출구 사이,ST-1474
노원구,1685,불암고등학교 앞 횡단보도,8.0,37.64819,127.080482,서울특별시 노원구 중계로 155불암고등학교 앞 횡단보도,ST-1475
노원구,1686,온수골사거리(스타벅스앞),10.0,37.66114,127.058052,서울특별시 노원구 동일로227길 85온수골사거리(스타벅스앞),ST-1476
