번호,대여소,거치대수,주소,위도,경도
1280,송파파크데일 2단지입구 앞 주차장,20,서울특별시 송파구 성내천로47길 23 송파파크데일 2단지입구 앞 주차장,37.495659,127.157173
1282,송파소방서 맞은편(성내4교),10,서울특별시 송파구 오금로51길 56 송파소방서 맞은편(성내4교),37.499874,127.141479
1283,오금공원 사거리,8,서울특별시 송파구 오금로 363 오금공원 사거리,37.505455,127.131752
1285,위례별 유치원 뒤,15,서울특별시 송파구 위례광장로 136 위례별 유치원 뒤,37.477470,127.144592
1286,위례중앙푸르지오 1단지 앞,10,서울특별시 송파구 위례광장로 120 위례중앙푸르지오 1단지 앞,37.474377,127.140671
1287,위례아이파크 101동 맞은편,8,서울특별시 송파구 위례순환로 419 위례아이파크 101동 맞은편,37.477531,127.141518
1288,문정중교 사거리,15,서울특별시 송파구 송이로 238 문정중교 사거리,37.487999,127.131088
1289,풍납동 자전거보관소,10,서울특별시 송파구 토성로 2 풍납동 자전거보관소,37.531471,127.111092
129,신촌역(2호선) 6번출구 옆,15,서울특별시 마포구 신촌로 106 31-123,37.555054,126.937569
1290,위례송파꿈에그린아파트24단지 앞 성벽 다리 밑,10,서울특별시 송파구 위례광장로 121 위례송파꿈에그린아파트24단지 앞 성벽 다리 밑,37.474659,127.137718
1291,서울체육고등학교 앞,10,서울특별시 송파구 강동대로 232 서울체육고등학교 앞,37.521938,127.131866
1293,석촌호교차로 (스타벅스 앞),10,서울특별시 송파구 석촌호수로 176 석촌호교차로 (스타벅스 앞),37.506561,127.096558
1295,잠실역 8번출구,20,서울특별시 송파구 올림픽로 305 잠실역 8번출구,37.513962,127.100304
1296,석촌호수교차로 (송파나루근린공원 앞),10,서울특별시 송파구 석촌호수로12길 1-16 석촌호수교차로 (송파나루근린공원 앞),37.508678,127.103432
1297,석촌호수교차로(동호 팔각정 앞),10,서울특별시 송파구 석촌호수로12길 1-16 석촌호수교차로(동호 팔각정 앞),37.509201,127.104118
1299,송파소방서 (방이119안전센터),15,서울특별시 송파구 강동대로 286 송파소방서 (방이119안전센터),37.519878,127.136711
130,신촌역(2호선) 7번출구 앞,10,서울특별시 마포구 신촌로 94 31-123,37.554859,126.936157
1300,오륜사거리,15,서울특별시 송파구 성내천로16길 17 오륜사거리,37.506939,127.139221
1302,한성대입구역6번출구 뒤,5,서울특별시 성북구 동소문로 1 한성대입구역6번출구 뒤,37.588764,127.006310
1303,돈암초교 입구,10,서울특별시 성북구 동소문로13길 38 돈암초교,37.591694,127.012497
1304,만해공원,15,서울특별시 성북구 성북로 132-1 만해공원,37.594402,126.992310
1305,성북구청,15,서울특별시 성북구 보문로 168 성북구청,37.589329,127.016434
1306,한성대입구역2번출구,10,서울특별시 성북구 동소문로 2 성북구 동소문동2가 2-3,37.588448,127.006706
