CONTENT_ID,CONTENT_NM,CRADLE_COUNT,ADDRESS,LATITUDE,LONGITUDE,ADDR_GU
706,신정네거리역,15,서울특별시 양천구 신월동 894 신정네거리역,37.521881,126.851753,양천구
707,신정3동주민센터,10,서울특별시 양천구 중앙로 209 신정3동주민센터,37.515156,126.854897,양천구
708,서울출입국관리사무소 앞,16,서울특별시 양천구 신정동 319-3 서울출입국관리사무소 앞,37.51897,126.869965,양천구
709,신정3동 현장민원실 앞,20,서울특별시 양천구 신정동 760-2 신정3동 현장민원실 앞,37.511585,126.84156000000002,양천구
710,서부화물트럭터미널 사거리,12,서울특별시 양천구 신정동 759-2 서부화물트럭터미널 사거리,37.510658,126.84253700000001,양천구
711,신일해피트리아파트 앞,20,서울특별시 양천구 신월동 1063-4 신일해피트리아파트 앞,37.517059,126.84848799999999,양천구
712,강월초교입구 사거리,14,서울특별시 양천구 신월동 905 강월초교입구 사거리,37.516998,126.83831799999999,양천구
713,양서중학교 옆,20,서울특별시 양천구 신월동 790 양서중학교 옆,37.533046999999996,126.82995600000001,양천구
714,한국SGI 양천문화회관 앞,10,서울특별시 양천구 신월동 790 한국SGI 양천문화회관 앞,37.532546999999994,126.830803,양천구
716,신정6동 주민센터 인근,15,서울특별시 양천구 목동서로 355 햇빛문고 앞,37.517281,126.86433400000001,양천구
719,홍익병원앞 교차로,10,서울특별시 양천구 등촌로 2 홍익병원앞 교차로,37.530369,126.864258,양천구
720,서울강월초등학교 앞,10,서울특별시 양천구 신월로 97 서울강월초등학교 앞,37.516197,126.8349,양천구
722,LG전자베스트샵 신정점,10,서울특별시 양천구 신월로 328 LG전자베스트샵 신정점,37.521435,126.85738400000001,양천구
723,SBS방송국,15,서울특별시 양천구 목동서로161 SBS방송국,37.529163,126.872749,양천구
724,계남공원 입구 주출입구 좌측,15,서울특별시 양천구 신정동 621-14 계남공원 입구 주출입구 좌측,37.510681,126.857399,양천구
725,양강중학교앞 교차로,15,서울특별시 양천구 남부순환로88길5-16 양강중학교앞 교차로,37.524334,126.850548,양천구
726,목동3단지 시내버스정류장,15,서울특별시 양천구 목동중앙로 49  목동3단지 시내버스정류장,37.534389000000004,126.869598,양천구
729,서부식자재마트 건너편,10,서울특별시 양천구 신정동 236  서부식자재마트 건너편,37.51038,126.866798,양천구
731,서울시 도로환경관리센터,10,서울특별시 양천구 목동동로 316-6 서울시 도로환경관리센터,37.5299,126.87654099999999,양천구
732,신월동 이마트,10,서울특별시 양천구 화곡로 59 신월동 이마트,37.539551,126.8283,양천구
733,신정이펜하우스314동,10,서울특별시 양천구 신정이펜1로50  신정이펜하우스314동,37.514099,126.831001,양천구
734,신트리공원 입구,10,서울특별시 양천구 신정동 310-8  신트리공원 입구,37.51395,126.85605600000001,양천구
735,영도초등학교,10,서울특별시 양천구 목동중앙로 70  영도초등학교,37.536429999999996,126.871521,양천구
736,오솔길공원,10,서울특별시 양천구 남부순환로70길11-9 오솔길공원,37.52219,126.8367,양천구
737,장수공원,10,서울특별시 양천구 신월로 894  장수공원,37.52256,126.84948,양천구
739,신월사거리,15,서울특별시 양천구 신월동 263 신월사거리,37.536201,126.827797,양천구
740,으뜸공원,10,서울특별시 양천구 가로공원로 133 으뜸공원,37.536369,126.83171100000001,양천구
741,화곡로 입구 교차로,10,서울특별시 양천구 신월동 258 화곡로 입구 교차로,37.53952,126.825401,양천구
742,등촌역 5번 출구 뒤,10,서울특별시 양천구 등촌로 236 등촌역 5번 출구 뒤,37.550732,126.86457800000001,양천구
743,현대6차아파트 101동 옆,10,서울특별시 양천구 신정동 735-5 현대6차아파트 101동 옆,37.5089,126.84268200000001,양천구
744,신목동역 2번 출구,10,서울특별시 양천구 목동중앙로 212 앞 신목동역 2번 출구,37.543842,126.882545,양천구
745,강서초등학교,10,서울특별시 양천구 오목로 31 부근 강서초등학교,37.522282000000004,126.839699,양천구
746,목동2단지 상가,10,서울특별시  양천구 목동 902-5  목동2단지 상가,37.536503,126.877747,양천구
747,목동3단지 상가,10,서울특별시 양천구 목동 903-6 목동3단지 상가,37.53458,126.875648,양천구
